,NATURAL_ACCURACY_W_NSA,ADVERSARIAL_ACCURACY_W_NSA,NATURAL_ACCURACY_WO_NSA,ADVERSARIAL_ACCURACY_WO_NSA,TOTAL_NUM_PER_CLS
Ahead only,1.0,0.7160493827160493,1.0,0.7037037037037037,81
General caution,1.0,0.08641975308641975,1.0,0.1111111111111111,81
Keep right,1.0,0.35507246376811596,1.0,0.36231884057971014,138
No entry,1.0,0.9466666666666667,1.0,0.96,75
No passing,1.0,0.5050505050505051,1.0,0.5454545454545454,99
No passing veh over 3.5 tons,1.0,0.18518518518518517,1.0,0.5185185185185185,135
No vehicles,1.0,0.023809523809523808,1.0,0.023809523809523808,42
Priority road,1.0,0.5815602836879432,1.0,0.5673758865248227,141
Right-of-way at intersection,1.0,0.6111111111111112,1.0,0.6444444444444445,90
Road work,1.0,0.5882352941176471,1.0,0.6372549019607843,102
Speed limit (100km/h),1.0,0.041666666666666664,1.0,0.052083333333333336,96
Speed limit (120km/h),1.0,0.03125,1.0,0.23958333333333334,96
Speed limit (30km/h),1.0,0.30666666666666664,1.0,0.25333333333333335,150
Speed limit (50km/h),1.0,0.4533333333333333,1.0,0.44,150
Speed limit (60km/h),1.0,0.041666666666666664,1.0,0.125,96
Speed limit (70km/h),1.0,0.36363636363636365,1.0,0.4696969696969697,132
Speed limit (80km/h),1.0,0.15079365079365079,1.0,0.1746031746031746,126
Stop,1.0,1.0,1.0,1.0,54
Turn right ahead,1.0,0.7083333333333334,1.0,0.7083333333333334,48
Wild animals crossing,1.0,0.1111111111111111,1.0,0.25925925925925924,54
Yield,1.0,0.2986111111111111,1.0,0.3402777777777778,144
OVERALL,1.0,0.36948356807511745,1.0,0.42018779342723006,2130
